"","Date","CPI","Output","Key_Rate","Interbank_Rate","USD","Urals"
"1",2011-01-01,102.37,18194.6177312069,7.75,2.63866666666667,30.1359903225806,101.3563502
"2",2011-02-01,100.78,18378.7170888612,8,2.74157894736842,29.2317535714286,111.2618167
"3",2011-03-01,100.62,18746.9158041697,8,3.01772727272727,28.4077931034483,119.4547198
"4",2011-04-01,100.43,19299.2138771326,8,3.16333333333333,28.0299066666667,111.4810248
"5",2011-05-01,100.48,19748.976775256,8.25,3.6725,27.9440612903226,111.7276339
"6",2011-06-01,100.23,20096.2044985401,8.25,3.65190476190476,27.9841103448276,115.3034662
"7",2011-07-01,99.99,20340.8970469847,8.25,3.82095238095238,27.9055096774194,109.5081518
"8",2011-08-01,99.76,20880.2155080625,8.25,3.86391304347826,28.8262741935484,111.5068493
"9",2011-09-01,99.96,21714.1598817733,8.25,4.36090909090909,30.67603,108.4
"10",2011-10-01,100.48,22842.7301681172,8.25,4.87142857142857,31.2163548387097,110.7
"11",2011-11-01,100.42,22955.7731163348,8.25,4.9652380952381,30.82165,107.6
"12",2011-12-01,100.44,22053.2887264261,8,5.33238095238095,31.5470482758621,109.8
"13",2012-01-01,100.5,20135.276998391,8,4.79625,31.39628,119.17
"14",2012-02-01,100.37,19173.5473974446,8,4.3585,29.7693,123.15
"15",2012-03-01,100.58,19168.0999235869,8,5.03571428571429,29.3360310344828,117.3
"16",2012-04-01,100.31,20118.9345768178,8,5.2447619047619,29.4738642857143,108.89
"17",2012-05-01,100.52,20771.777540928,8,5.70190476190476,30.9620724137931,93.31
"18",2012-06-01,100.89,21126.6288159172,8.25,5.6535,32.8292931034483,102.6
"19",2012-07-01,101.23,21183.4884017856,8,5.53181818181818,32.4550166666667,113.24
"20",2012-08-01,100.1,21593.7682309664,8,5.24695652173913,31.931235483871,111.66
"21",2012-09-01,100.55,22357.4683034595,8.25,5.46,31.3600482758621,110.74
"22",2012-10-01,100.46,23474.5886192649,8.25,6.02260869565217,31.1227387096774,108.44
"23",2012-11-01,100.34,23520.8922724901,8.25,6.0652380952381,31.37292,108.67
"24",2012-12-01,100.54,22496.3792631351,8.25,6.1925,30.725624137931,112.2
"25",2013-01-01,100.97,20401.0495912,8.25,5.37058823529412,30.21623,114.57
"26",2013-02-01,100.56,19360.8279494361,8.25,5.611,30.1897035714286,106.56
"27",2013-03-01,100.34,19375.7143378435,8.25,5.9615,30.811064516129,101.04
"28",2013-04-01,100.51,20445.7087564222,8.25,6.10727272727273,31.3373433333333,102.2
"29",2013-05-01,100.66,21150.0036280197,8.25,6.295,31.3407766666667,102.8
"30",2013-06-01,100.42,21488.598952636,8.25,6.24421052631579,32.3212833333333,108.48
"31",2013-07-01,100.82,21461.494730271,8.25,6.00217391304348,32.7672967741935,111.59
"32",2013-08-01,100.14,21887.9169760116,8.25,6.01181818181818,32.9981677419355,110.98
"33",2013-09-01,100.21,22767.8656898577,5.5,6.17809523809524,32.56038,107.85
"34",2013-10-01,100.57,24101.3408718093,5.5,5.9795652173913,32.0517419354839,107.36
"35",2013-11-01,100.56,24173.733425081,5.5,6.1145,32.72069,109.92
"36",2013-12-01,100.51,22985.0433496726,5.5,6.42952380952381,32.8425709677419,106.73
"37",2014-01-01,100.59,20535.2706455841,5.5,6.04705882352941,33.7140483870968,107.72
"38",2014-02-01,100.7,19298.7160471473,5.5,5.9635,35.2625178571429,106.76
"39",2014-03-01,101.02,19275.3795543621,7,7.8305,36.1368838709677,106.7
"40",2014-04-01,100.9,20465.2611672285,7.5,7.82136363636364,35.6641333333333,107.71
"41",2014-05-01,100.9,21272.3919101721,7.5,8.15263157894737,34.8728032258065,109.05
"42",2014-06-01,100.62,21696.7717831928,7.5,8.1821052631579,34.3476666666667,105.15
"43",2014-07-01,100.49,21738.4007862907,8,8.12304347826087,34.730935483871,100.78
"44",2014-08-01,100.24,22206.5055637099,8,7.85190476190476,36.1801193548387,95.62
"45",2014-09-01,100.65,23101.0861154505,8,7.94409090909091,38.0341333333333,86.35
"46",2014-10-01,100.82,24422.1424415124,8,8.23,40.9036290322581,78.32
"47",2014-11-01,101.28,24416.014498191,9.5,10.2261111111111,46.4697566666667,60.9
"48",2014-12-01,102.62,23082.7022854864,17,15.4486363636364,56.4022516129032,46.14
"49",2015-01-01,103.85,20422.2058033985,17,16.956,63.6605483870968,57.31
"50",2015-02-01,102.22,18991.7329398439,15,15.1036842105263,63.9675821428571,54.19
"51",2015-03-01,101.21,18791.2836948226,14,14.8252380952381,59.9975709677419,58.6
"52",2015-04-01,100.46,19820.8580683345,14,14.3718181818182,52.7352166666667,63.07
"53",2015-05-01,100.35,20580.8217876815,12.5,12.7944444444444,50.658964516129,60.67
"54",2015-06-01,100.19,21071.1748528635,11.5,12.4990476190476,54.6717133333333,55.6
"55",2015-07-01,100.8,21291.9172638806,11.5,11.4917391304348,57.157364516129,45.29
"56",2015-08-01,100.35,21854.1641823712,11,10.807619047619,65.1407032258064,46.58
"57",2015-09-01,100.57,22757.9156083352,11,11.0972727272727,66.5784,46.61
"58",2015-10-01,100.74,24003.1715417725,11,11.1622727272727,62.8597903225806,41.72
"59",2015-11-01,100.75,24004.5313355905,11,11.4455,65.0640533333333,36.24
"60",2015-12-01,100.77,22761.9949897891,11,11.2036363636364,69.969064516129,28.53
"61",2016-01-01,100.96,20275.5625043683,11,11.0613333333333,76.5247032258064,30.34
"62",2016-02-01,100.63,18968.5479121072,11,10.878,77.1248620689655,36.37
"63",2016-03-01,100.46,18840.9512130057,11,10.9328571428571,69.6908935483871,39.34
"64",2016-04-01,100.44,19892.7724070639,11,10.712380952381,66.45817,44.59
"65",2016-05-01,100.41,20653.6909030942,11,11.0621052631579,65.6009967741935,46.23
"66",2016-06-01,100.36,21123.7067010967,10.5,10.5542857142857,64.7690033333333,43.31
"67",2016-07-01,100.54,21302.8198010714,10.5,10.2757142857143,64.2190258064516,43.69
"68",2016-08-01,100.01,21856.1244758745,10.5,10.2913043478261,64.7914193548387,44.22
"69",2016-09-01,100.17,22783.6207255058,10,10.2390909090909,64.4672233333333,47.74
"70",2016-10-01,100.43,24085.3085499656,10,10.322380952381,62.5450032258065,43.53
"71",2016-11-01,100.44,24134.3627938626,10,9.9952380952381,64.4887266666667,51.9
"72",2016-12-01,100.4,22930.783457197,10,10.1804761904762,61.9864433333333,53.03
"73",2017-01-01,100.62,20474.5705399687,10,10.1229411764706,59.8597633333333,53.3
"74",2017-02-01,100.22,19216.4683714123,10,10.1605555555556,58.4048285714286,49.61
"75",2017-03-01,100.13,19156.4769515276,9.75,9.89045454545455,57.8228129032258,50.91
"76",2017-04-01,100.33,20294.5962803148,9.75,9.5495,56.4901633333333,48.96
"77",2017-05-01,100.37,21137.0749975482,9.25,9.119,57.057435483871,45.41
"78",2017-06-01,100.61,21683.913103228,9,9.10761904761905,57.9496433333333,47.8
"79",2017-07-01,100.07,21935.110597354,9,8.9347619047619,59.588635483871,51.15
"80",2017-08-01,99.46,22467.3255839269,9,8.49565217391304,59.3917967741936,54.63
"81",2017-09-01,99.85,23280.5580629465,8.5,8.33571428571429,57.62003,56.36
"82",2017-10-01,100.2,24374.8080344128,8.25,8.03454545454546,57.7205064516129,62.15
"83",2017-11-01,100.22,24340.1935643705,8.25,7.98714285714286,58.9411133333333,63.77
"84",2017-12-01,100.42,23176.7146528196,7.75,7.7825,58.569464516129,68.6
"85",2018-01-01,100.31,20884.37129976,7.75,7.07941176470588,56.6520161290323,63.14
"86",2018-02-01,100.21,19736.8746088367,7.5,7.16210526315789,56.8445642857143,63.58
"87",2018-03-01,100.29,19734.2245800496,7.25,7.155,57.1127064516129,69.08
"88",2018-04-01,100.38,20876.4212133988,7.25,7.00714285714286,60.77601,75.14
"89",2018-05-01,100.38,21714.1047124098,7.25,6.949,62.2844419354839,73.06
"90",2018-06-01,100.49,22247.2750770826,7.25,6.9975,62.76597,72.84
"91",2018-07-01,100.27,22475.9323074173,7.25,7.08318181818182,62.8081774193548,71.52
"92",2018-08-01,100.01,23042.6421101116,7.25,7.03434782608696,66.4458870967742,78.06
"93",2018-09-01,100.16,23947.4044851654,7.5,7.1275,67.5560633333333,79.58
"94",2018-10-01,100.35,25190.2194325788,7.5,7.26086956521739,65.8476387096774,64.42
"95",2018-11-01,100.5,25163.4007285387,7.5,7.23904761904762,66.54748,57.38
"96",2018-12-01,100.84,23866.9483730451,7.75,7.4775,67.5986193548387,59.81
"97",2019-01-01,101.01,21300.862366098,7.75,7.61529411764706,66.7674096774194,63.92
"98",2019-02-01,100.44,19981.5883647355,7.75,7.5195,65.7734035714286,65.96
"99",2019-03-01,100.32,19909.1263689575,7.75,7.591,65.2482,71.65
"100",2019-04-01,100.29,21083.4763787641,7.75,7.67363636363636,64.5596666666667,71.28
"101",2019-05-01,100.34,21993.4254666146,7.75,7.64833333333333,64.8820225806452,62.37
"102",2019-06-01,100.04,22638.973632509,7.5,7.52578947368421,64.0760566666667,63.4
"103",2019-07-01,100.2,23020.1208764474,7.25,7.24086956521739,63.2064133333333,59.24
"104",2019-08-01,99.76,23696.8629715461,7.25,7.08409090909091,65.8051161290323,61.06
"105",2019-09-01,99.84,24669.1999178054,7,6.82761904761905,64.9027933333333,58.45
"106",2019-10-01,100.13,25937.1317152251,6.5,6.76739130434783,64.2579258064516,63.34
"107",2019-11-01,100.28,25925.357024197,6.5,6.4465,63.8124466666667,64.47
"108",2019-12-01,100.36,24633.8758447212,6.25,6.15714285714286,62.8454677419355,61.67
"109",2020-01-01,100.4,22062.6881767977,6.25,6.03882352941176,61.8709,54.24
"110",2020-02-01,100.33,20394.911654441,6,5.92368421052632,64.186175862069,29.17
"111",2020-03-01,100.55,19630.5462776511,6,5.75368421052632,74.5305503225807,18.22
"112",2020-04-01,100.83,19769.5920464281,5.5,5.91789473684211,74.8939,31.03
"113",2020-05-01,100.27,20187.5272327428,5.5,5.37882352941176,72.7021612903226,41.93
"114",2020-06-01,100.22,20884.3518365952,4.5,4.9245,69.3191666666667,43.91
"115",2020-07-01,100.35,21860.0658579853,4.25,4.17590909090909,71.442835483871,44.51
"116",2020-08-01,99.96,22972.6318963194,4.25,4.11238095238095,73.834535483871,40.91
"117",2020-09-01,99.93,24222.0499515977,4.25,4.16636363636364,75.98904,40.53
"118",2020-10-01,100.43,25608.32002382,4.25,4.195,77.5203064516129,43.32
"119",2020-11-01,100.71,25620.1217008932,4.25,4.0705,76.80546,49.37
"120",2020-12-01,100.83,24257.4549828171,4.25,4.12954545454545,73.9171967741935,54.89
"121",2021-01-01,100.67,21520.3198695918,4.25,4.28466666666667,74.4061903225806,61.47
"122",2021-02-01,100.78,20164.6473843964,4.25,3.99947368421053,74.3037464285714,64.29
"123",2021-03-01,100.66,20190.437527231,4.5,4.2,74.4890741935484,63.02
"124",2021-04-01,100.58,21597.6902980955,5,4.47909090909091,76.10279,67.26
"125",2021-05-01,100.74,22554.1477006773,5,4.75736842105263,73.9339838709677,71.57
"126",2021-06-01,100.69,23059.8097349763,5.5,5.09285714285714,72.5443433333333,73.09
"127",2021-07-01,100.31,23114.6764009926,6.5,5.76590909090909,73.8791258064516,68.14
"128",2021-08-01,100.17,23744.3538792491,6.5,6.30681818181818,73.518764516129,65.96
"129",2021-09-01,100.6,24948.8421697457,6.75,6.55636363636364,72.8846933333333,81.71
"130",2021-10-01,101.11,26728.1412724825,7.5,6.80857142857143,71.3452866666667,79.98
"131",2021-11-01,100.96,26946.6255168605,7.5,7.3075,72.9422566666667,72.88
"132",2021-12-01,100.82,25604.2949028796,8.5,7.57761904761905,73.8249064516129,86.23
"133",2022-01-01,100.99,22701.1494305398,8.5,8.2625,76.5627451612903,94.94
"134",2022-02-01,101.17,20967.4150497676,20,9.51473684210526,78.7513107142857,92.59
"135",2022-03-01,107.61,20403.0917605629,20,20.0327272727273,108.970435714286,72.55
"136",2022-04-01,101.56,21008.1795629256,17,17.1266666666667,79.4834,81.18
"137",2022-05-01,100.12,21513.038919974,11,13.2977777777778,64.390504,91.61
"138",2022-06-01,99.65,21917.6698317081,9.5,9.63285714285714,56.5642307692308,85.32
"139",2022-07-01,99.61,22222.0722981277,8,8.90380952380952,59.1258,77.34
"140",2022-08-01,99.48,22924.4474058316,8,7.94695652173913,60.0961296296296,68.61
"141",2022-09-01,100.05,24024.7951548199,7.5,7.69136363636364,59.33235,71.91
"142",2022-10-01,100.18,25523.1155450924,7.5,7.71714285714286,61.2757111111111,66.69
"143",2022-11-01,100.37,26521.9958052741,7.5,7.33333333333333,60.4140740740741,50.15
"144",2022-12-01,100.78,27021.4359353649,7.5,7.31904761904762,65.998962962963,49.02
